CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle
8113354-232571,Sandals,Flat,3in - 3 3/4in,,Zipper,Women,Leather,Open Toe
7667036-12663,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Patent Leather,Round Toe;Closed Toe
8070133-388226,Boots,Mid-Calf,5in & over,Padded,Elastic Gore;Pull-on,Girls,Nylon;Rubber;EVA,
7904419-372838,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Women,Faux Leather,Round Toe;Closed Toe
7956800-347762,Shoes,Flats,,,Slip-On,Women,Canvas,Capped Toe;Round Toe
7976713-133,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather;Mesh,Round Toe;Closed Toe
8097597-47391,Shoes,Heels,5in & over,Leather,Slip-On,Women,Patent Leather,Peep Toe
8018486-11,Boots,Knee High,1in - 1 3/4in,Padded,Zipper,Women,Leather,Round Toe;Closed Toe
8061239-3,Shoes,Oxfords,Flat,Padded,Slip-On,Men,Full-grain leather,Round Toe;Closed Toe
7976234-12293,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Faux Leather,
7842900-401,Boots,Ankle,1in - 1 3/4in,,Button Loop;Pull-on,Women,Sheepskin,Round Toe;Closed Toe
7965785-385296,Shoes,Sneakers and Athletic Shoes,Flat,EVA,Lace up,Men,Leather;Rubber;Synthetic,
7739184-352,Shoes,Loafers,,Moisture Wicking;Padded,Slip-On,Women,Suede,Moc Toe
7998068-5433,Shoes,Sneakers and Athletic Shoes,,Leather;Padded,Hook and Loop,Boys,Suede,Bump Toe
7553944-212757,Shoes,Loafers,,Leather;Moisture Wicking;Removable,Elastic Gore;Slip-On,Men,Leather,Bicycle Toe;Bump Toe;Round Toe
8047730-3,Sandals,Flat,,EVA,Buckle;Slip-On,Women,Synthetic;EVA,Open Toe
8008396-2557,Sandals,Flat,1in - 1 3/4in,EVA;Padded,Slip-On,Women,Leather;Patent Leather;Rubber;EVA,Open Toe
8020610-9,Boots,Ankle,,Leather;Padded,Lace up,Boys,Suede,Bump Toe;Closed Toe
8118286-585,Sandals,Flat,2in - 2 3/4in,,Slip-On,Women,Leather,Open Toe
8002073-184772,Shoes,Heels,1in - 1 3/4in,,Slip-On,Women,Patent Leather,Round Toe;Closed Toe
7819332-23534,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Satin,Peep Toe
8046492-378250,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Ripstop,
7847934-500,Shoes,Loafers,,Leather;Padded,Slip-On,Girls,Suede,Moc Toe
8081759-105,Sandals,Flat,1in - 1 3/4in,,Slip-On,Women,Cork;Leather;Suede,Open Toe
7980008-72,Sandals,Flat,3in - 3 3/4in,Leather;Padded,Slip-On,Women,Leather,Open Toe
8025259-5291,Boots,Ankle,4in - 4 3/4in,Padded,Zipper,Women,Leather,Round Toe;Closed Toe
8031951-43,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded;Textile,,Boys,Leather,Round Toe;Closed Toe
7486451-687,Boots,Ankle,1in - 1 3/4in,Padded,Zipper,Women,Leather,Almond
8007783-103,Boots,Mid-Calf,1in - 1 3/4in,Padded;Textile,Zipper,Girls,Synthetic,Round Toe;Closed Toe
7659988-93454,Boots,Ankle,Flat,,Lace up,Boys,Leather,
7659797-325,Shoes,Sneakers and Athletic Shoes,,EVA;Moisture Wicking,Lace up,Women,Nubuck,Round Toe
7894530-264814,Sandals,Flat,3in - 3 3/4in,Moisture Wicking,Buckle,Women,Leather,Closed Toe
7657083-46263,Shoes,Heels,5in & over,,Slip-On,Women,Leather,Almond
7987022-3,Boots,Ankle,Under 1in,,Elastic Gore;Zipper,Girls,Synthetic,Round Toe;Closed Toe
7992398-1912,Boots,Ankle,3in - 3 3/4in,Leather,Lace up,Women,Suede,Round Toe;Closed Toe
7980891-343858,Shoes,Sneakers and Athletic Shoes,,Leather;Padded,Lace up,Boys;Girls,Leather;Rubber,
8047534-3,Sandals,Flat,2in - 2 3/4in,EVA;Padded,Slip-On,Women,Hair Calf;Rubber,Open Toe
7842747-371500,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Hook and Loop;Lace up,Boys,Leather;Nubuck,
7165607-11951,Shoes,Sneakers and Athletic Shoes,,Leather;Padded,Lace up,Women,Leather;Rubber;Suede,
8020352-3,Shoes,Heels,1in - 1 3/4in,Padded,Slip-On,Women,Synthetic,Snub Toe;Closed Toe
8030436-373429,Shoes,Heels,1in - 1 3/4in,Padded;Polyurethane;Removable,Slip-On,Women,Leather,Capped Toe;Round Toe;Closed Toe
8022226-106,Boots,Ankle,2in - 2 3/4in,,Zipper,Women,Suede,Round Toe;Closed Toe
8040430-3,Shoes,Sneakers and Athletic Shoes,Flat,Leather;Padded,Lace up,Men,Canvas;Cotton;Lace;Leather;Rubber,
8012852-367124,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Mesh;Ripstop;Synthetic,
7997215-30817,Shoes,Flats,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7821073-106,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Suede,Capped Toe
7371451-408015,Boots,Knee High,Under 1in,Padded,Pull-on,Women,Leather;Rubber,Round Toe;Closed Toe
8087696-99,Shoes,Heels,3in - 3 3/4in,Leather,Buckle,Women,Satin,Open Toe
8012194-3,Slippers,Slipper Flats,Flat,,Slip-On,Men,Suede,Round Toe;Closed Toe
7974946-354486,Boots,Ankle,3in - 3 3/4in,,Lace up,Women,Synthetic,Almond;Closed Toe
7840481-308441,Boots,Mid-Calf,1in - 1 3/4in,Synthetic Leather,Pull-on,Girls,Leather,Round Toe
7343941-115447,Shoes,Loafers,1in - 1 3/4in,Leather;Removable,Button Loop;Slip-On,Women,Full-grain leather,Center Seam;Round Toe;Closed Toe
8085450-89084,Shoes,Loafers,Flat,Moisture Wicking;Padded;Polyurethane,Slip-On,Men,Full-grain leather,Moc Toe;Round Toe;Closed Toe
7919306-183092,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,,Square Toe
7722788-331459,Shoes,Flats,,Removable,Slip-On,Women,Leather;Suede,Round Toe
8016979-368783,Shoes,Sneakers and Athletic Shoes,Flat,Moisture Wicking;Padded,Lace up,Women,Patent Leather,Capped Toe;Round Toe;Closed Toe
7271610-77059,Shoes,Boat Shoes,,Padded;Removable,Lace up,Men,Full-grain leather;Leather;Nubuck,Moc Toe
7838242-19916,Shoes,Heels,4in - 4 3/4in,Padded,Slip-On,Women,,Almond
7934487-340903,Sandals,Flat,,Leather,Buckle,Girls,Patent Leather,Open Toe
8050744-72,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Leather,Pointed Toe;Closed Toe
7606075-223358,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded;Removable,,Men,Leather;Suede,Round Toe
7669332-183092,Shoes,Clogs and Mules,,,Sling Back,Women,,Closed Toe;Wide Toe Box
7641697-1084,Shoes,Flats,1in - 1 3/4in,Leather;Moisture Wicking;Padded,Elastic Gore;Slip-On,Women,Leather,Round Toe
8036331-55608,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Boys;Girls,Canvas,
7543957-3,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Buckle,Men,Microfiber;Mesh,
7930352-6266,Shoes,Heels,2in - 2 3/4in,Moisture Wicking;Padded,Buckle;Sling Back,Women,Leather,Peep Toe
7888907-125647,Sandals,Flat,,Leather,Slip-On,Men,Full-grain leather,Open Toe
7875349-134719,Shoes,Flats,,EVA;Padded,Slip-On,Women,Full-grain leather;Mesh,Round Toe;Closed Toe
7669332-1001,Shoes,Clogs and Mules,,,Sling Back,Women,,Closed Toe;Wide Toe Box
7474743-6,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Girls,Leather,Square Toe
8003660-325,Boots,Mid-Calf,1in - 1 3/4in,Padded,Zipper,Women,Leather,Round Toe;Closed Toe
7897362-14,Sandals,Flat,Under 1in,Leather;Padded,Buckle;T-Strap,Girls,Leather,
7984351-72,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,Full-grain leather,Round Toe;Closed Toe
114688-368103,Sandals,Flat,,Moisture Wicking;Padded,Buckle;Slip-On,Women,Jute,Open Toe
8091013-396436,Shoes,Heels,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Capped Toe;Closed Toe
7769259-144,Shoes,Sneakers and Athletic Shoes,,,Lace up,Boys,Synthetic,
7950965-72,Shoes,Flats,Under 1in,Gel;Leather;Padded,Slip-On,Women,Leather;Rubber;Synthetic,Round Toe
8043478-18194,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,,Hook and Loop,Women,Faux Leather,Round Toe;Closed Toe
7817587-300226,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,,
7881053-245988,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Leather,Peep Toe
8045223-106,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Suede,Round Toe;Closed Toe
7890885-416689,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Patent Leather,Round Toe;Closed Toe
8053173-11,Sandals,Flat,3in - 3 3/4in,Textile,Slip-On,Women,Synthetic,Open Toe
7822853-178749,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Women,Leather;Nubuck;Rubber,Capped Toe;Round Toe
8081031-13242,Shoes,Heels,4in - 4 3/4in,,Elastic Gore;Slip-On,Women,Faux Leather,Peep Toe
7300895-393318,Shoes,Sneakers and Athletic Shoes,Flat,Textile,Lace up,Boys,Leather;Nubuck,
7970312-256519,Boots,Mid-Calf,Under 1in,Leather;Padded,Pull-on,Women,Leather,Round Toe
7796172-50900,Shoes,Flats,,Padded;Textile,Buckle,Girls,Suede;Synthetic,
7845026-3,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Zipper,Girls,Synthetic,Round Toe
8042507-9,Shoes,Clogs and Mules,1in - 1 3/4in,Moisture Wicking;Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
8015073-11,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Women,Suede,Round Toe;Closed Toe
8045297-18,Boots,Ankle,,Moisture Wicking,Button Loop;Pull-on,Girls,Sheepskin,Round Toe
7972738-353838,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather;Nubuck;Synthetic,
8064935-365347,Shoes,Heels,5in & over,,Slip-On,Women,Suede,Peep Toe
7750312-1748,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Leather;Patent Leather,Round Toe;Closed Toe
7969513-3,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
8073889-99968,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Men,Canvas,Round Toe;Closed Toe
7919394-3,Sandals,Flat,2in - 2 3/4in,Leather,Slip-On;Sling Back,Women,,Open Toe
8025564-12631,Boots,Knee High,2in - 2 3/4in,Padded,Zipper,Women,Leather,Capped Toe;Round Toe;Closed Toe
8059894-38060,Boots,Ankle,1in - 1 3/4in,Leather,Buckle,Women,Leather;Suede,Round Toe
7978435-356651,Shoes,Sneakers and Athletic Shoes,,Removable,Toggle,Men,Mesh;Rubber;Suede;Synthetic,
7452246-33710,Boots,Mid-Calf,,,,Boys,Nylon,
8140605-413063,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Leather,Round Toe;Closed Toe
117623-134719,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe
7938427-8002,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,,
8155857-68613,Sandals,Flat,,,Slip-On,Women,Patent Leather,Open Toe
7821559-289846,Boots,Ankle,3in - 3 3/4in,Leather;Padded,Lace up,Women,Leather;Rubber,Round Toe;Closed Toe
8058003-15914,Shoes,Loafers,,EVA,Slip-On,Women,,Moc Toe
8008100-311468,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,Leather,Pointed Toe
7666720-325,Shoes,Loafers,,Memory Foam,Slip-On,Men,Full-grain leather,
7434985-19688,Shoes,Loafers,,Padded,Elastic Gore;Slip-On,Men,Canvas;Synthetic,Moc Toe;Round Toe
7973249-354064,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Cotton;Suede,Round Toe;Closed Toe
7820458-4689,Boots,Ankle,2in - 2 3/4in,Moisture Wicking;Padded;Removable,Zipper,Women,Leather;Suede,Round Toe;Closed Toe
7666020-72,Shoes,Oxfords,,,Lace up,Men,Leather,Bicycle Toe;Square Toe
8007954-359,Boots,Knee High,1in - 1 3/4in,Leather;Padded,Pull-on;Zipper,Women,Leather,Round Toe;Closed Toe
7975631-355194,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7925871-8618,Sandals,Flat,1in - 1 3/4in,Leather;Padded,Elastic Gore;Slip-On,Women,Leather;Synthetic,Open Toe
8087734-395308,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Full-grain leather,Pointed Toe;Closed Toe
7406098-29868,Shoes,Heels,2in - 2 3/4in,,Slip-On,Women,,Peep Toe
8025598-401,Shoes,Sneakers and Athletic Shoes,,,Lace up;Slip-On,Women,Mesh;Synthetic,Round Toe;Closed Toe
7792015-9448,Boots,Knee High,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
7883943-29068,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Men;Women,Full-grain leather,
8030584-3,Shoes,Flats,,Leather,Hook and Loop,Girls,Synthetic,Round Toe;Closed Toe
7996980-373826,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,Mesh;Synthetic,
7958112-3,Sandals,Flat,,,Buckle;Ankle Strap,Women,Leather,
8085812-6,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Leather,Lace up,Men,Lace;Leather;Rubber,Capped Toe
7977894-559,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Synthetic,
8026268-390083,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Mesh;Synthetic,
7976552-355750,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Mesh;Rubber;Synthetic,
7896178-328376,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Women,Leather;Nubuck;Rubber;Suede,Round Toe
8042672-3,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather,Snip Toe;Closed Toe
7724746-367798,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Women,Leather;Suede,
7904289-334768,Shoes,Loafers,,,Elastic Gore;Slip-On,Men,Suede,Round Toe;Closed Toe
7964513-367134,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,,Round Toe;Closed Toe
7723037-3917,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys;Girls,Leather;Suede,
7788186-47090,Shoes,Sneakers and Athletic Shoes,,EVA,,Women,Mesh;Synthetic,
7898438-296471,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Women,Leather;Mesh;Rubber;Synthetic,
8015394-368118,Shoes,Clogs and Mules,Flat,Moisture Wicking,Slip-On,Women,Jute,Round Toe;Closed Toe
7791126-4247,Shoes,Loafers,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Closed Toe
8087983-574,Boots,Mid-Calf,,Padded,Pull-on,Girls,Cotton,Round Toe
7851138-2007,Shoes,Heels,2in - 2 3/4in,Polyurethane;Removable,Slip-On,Women,Synthetic,Round Toe
8071495-2125,Shoes,Sneakers and Athletic Shoes,Flat,Moisture Wicking;Padded,Lace up,Men,Leather;Mesh;Patent Leather,
7814541-357358,Shoes,Clogs and Mules,1in - 1 3/4in,Latex Lined;Leather;Moisture Wicking;Orthotic Friendly;Padded;Removable,Slip-On,Women,Leather,Round Toe;Closed Toe
8076540-328,Boots,Knee High,1in - 1 3/4in,,Zipper,Women,Leather,Round Toe;Closed Toe
7896372-3896,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas;Rubber;Suede,
8020603-20,Boots,Mid-Calf,3in - 3 3/4in,Moisture Wicking;Padded,Zipper,Women,Leather,Round Toe;Closed Toe
7950947-9,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas;Lace;Rubber,Round Toe;Closed Toe
7993498-106,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Suede,Round Toe;Closed Toe
8020750-366994,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Elastic Gore;Hook and Loop,Boys,Mesh;Synthetic,
8023702-3,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Memory Foam,Lace up,Boys,Suede,
7847996-559,Slippers,Slipper Flats,,Textile,Slip-On,Girls,Faux Fur,Round Toe;Closed Toe
8003149-3,Shoes,Loafers,1in - 1 3/4in,EVA;Padded,Slip-On,Men,Rubber,Round Toe;Closed Toe
7443884-62241,Shoes,Sneakers and Athletic Shoes,,,Slip-On,Boys,Canvas,
8066100-6700,Shoes,Sneakers and Athletic Shoes,Flat,EVA,Slip-On,Girls,,Moc Toe
7891840-404941,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Moisture Wicking;Padded;Removable,Hook and Loop,Girls,Faux Leather;Synthetic,
7707305-10475,Boots,Mid-Calf,1in - 1 3/4in,Padded;Textile,Pull-on,Women,Leather;Rubber,Pointed Toe;Closed Toe
7764174-14,Sandals,Flat,,Leather;Padded,Hook and Loop,Girls,Leather,Open Toe
7947544-158,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Suede,Peep Toe
7169761-7720,Slippers,Slipper Flats,,,,Men,Suede,
8034371-442,Boots,Ankle,4in - 4 3/4in,Padded,Buckle,Women,Leather,Round Toe;Closed Toe
8039757-4186,Boots,Ankle,3in - 3 3/4in,,Zipper,Women,Faux Leather,Round Toe;Closed Toe
8122668-5,Sandals,Flat,Under 1in,,Buckle;Ankle Strap,Women,Leather,Open Toe
8045654-3,Boots,Ankle,1in - 1 3/4in,Leather,Zipper,Men,Leather;Rubber,Bicycle Toe
8031938-6,Boots,Ankle,Flat,Padded;Textile,Hook and Loop,Boys,Suede,Bump Toe
8089196-3,Boots,Ankle,5in & over,Leather,Hook and Loop;Lace up,Women,Leather;Suede,Round Toe
8010465-17744,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Satin,Open Toe
7971367-4971,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Suede,Round Toe;Closed Toe
7950325-19667,Shoes,Heels,2in - 2 3/4in,Memory Foam;Padded,Slip-On,Women,Leather,Almond;Closed Toe
7465227-594,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Suede,
8031190-139,Boots,Ankle,Flat,Padded,Hook and Loop,Boys,Leather;Synthetic,Round Toe;Closed Toe
8034712-767,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Synthetic,Round Toe;Closed Toe
7813036-3,Boots,Ankle,,Orthotic Friendly;Padded,Lace up,Men,Full-grain leather;Nylon,Round Toe
7729982-1453,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,Mesh;Synthetic,Round Toe
8063855-66956,Sandals,Flat,Under 1in,Padded,Ankle Wrap,Women,,Closed Toe
7783678-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Synthetic,Round Toe
8108349-14,Sandals,Flat,2in - 2 3/4in,Leather;Padded,,Women,Leather,Open Toe
7699423-45338,Boots,Knee High,1in - 1 3/4in,Gel;Padded;Synthetic Leather,Zipper,Women,Leather,Round Toe;Closed Toe
7659351-3,Boots,Knee High,Under 1in,EVA;Removable,Zipper,Girls,Full-grain leather;Suede,Round Toe
7895800-328159,Sandals,Flat,3in - 3 3/4in,Latex Lined;Moisture Wicking;Padded,Slip-On,Women,Leather;Nubuck,Open Toe
7978354-356627,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Faux Leather,
8005712-365488,Boots,Over the Knee,1in - 1 3/4in,Padded,Pull-on,Women,Leather;Suede,Round Toe;Closed Toe
7700337-10005,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Full-grain leather,Bicycle Toe
8090599-364071,Shoes,Heels,3in - 3 3/4in,,Buckle;Ankle Strap,Women,Patent Leather,Open Toe
8005202-164004,Shoes,Loafers,Flat,,Slip-On,Men,,Moc Toe;Round Toe;Closed Toe
8032962-6,Boots,Mid-Calf,1in - 1 3/4in,Leather,Lace up,Women,Lace;Leather;Suede,Capped Toe
7970494-248971,Boots,Knee High,1in - 1 3/4in,Leather;Padded,Zipper,Women,Leather,Round Toe;Closed Toe
8000901-2340,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,Patent Leather,Almond;Closed Toe
7981744-7113,Boots,Ankle,Under 1in,Padded,Lace up,Women,Suede,Round Toe;Closed Toe
8108063-89,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Leather,Pointed Toe;Closed Toe
7610635-61515,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Leather;Padded;Polyurethane;Removable,Lace up,Men,Leather;Mesh;Rubber;Suede;Synthetic,
7942034-77431,Sandals,Flat,4in - 4 3/4in,Padded,Buckle,Women,Leather,Peep Toe
7759468-9,Sandals,Flat,,Padded,Slip-On,Women,Synthetic,Open Toe
8164770-6583,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Synthetic,Capped Toe
7841119-492,Shoes,Heels,1in - 1 3/4in,,Slip-On,Women,Leather,Square Toe
7847246-310496,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Women,Leather;Mesh;Rubber;Synthetic,
7814557-20,Shoes,Loafers,,EVA,Hook and Loop,Girls,,Closed Toe
8039604-369,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Patent Leather;Synthetic,Almond;Closed Toe
8030238-2971,Shoes,Clogs and Mules,,,Slip-On,Boys,,Round Toe
7985626-359083,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Full-grain leather,Capped Toe;Round Toe;Closed Toe
7640366-1141,Shoes,Heels,3in - 3 3/4in,,Buckle,Women,Faux Leather;Synthetic,Round Toe;Closed Toe
7646718-63200,Sandals,Flat,3in - 3 3/4in,Leather,Slip-On;Sling Back,Women,Leather;Patent Leather,Peep Toe
7562205-365474,Boots,Ankle,,,Lace up,Men,Leather,Round Toe
7235670-216208,Shoes,Heels,1in - 1 3/4in,,,Women,,
7997776-325,Shoes,Oxfords,Flat,Leather;Padded,Lace up,Men,Full-grain leather,Capped Toe
7895854-2538,Boots,Ankle,,Padded,Lace up,Men,Full-grain leather,Round Toe;Closed Toe
8017800-552,Shoes,Flats,Flat,,Slip-On,Girls,,
7523098-14,Shoes,Oxfords,,,Hook and Loop,Boys,Leather,Round Toe
7552911-216,Shoes,Heels,1in - 1 3/4in,Moisture Wicking;Padded,Slip-On,Women,Full-grain leather;Leather,Round Toe
8055298-3,Boots,Mid-Calf,3in - 3 3/4in,,Zipper,Women,Suede,Round Toe;Closed Toe
8051157-72,Boots,Ankle,2in - 2 3/4in,,Zipper,Women,Leather,Round Toe;Closed Toe
7280085-298819,Boots,Ankle,Flat,EVA;Padded;Removable,Lace up,Men,,Bump Toe
8113634-66489,Shoes,Heels,3in - 3 3/4in,,Buckle,Women,Leather,Peep Toe
7968256-18,Boots,Ankle,1in - 1 3/4in,Padded;Removable,Pull-on,Men,Leather;Sheepskin,Round Toe;Closed Toe
8010921-14,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Hook and Loop,Boys,Leather,
8089885-18,Sandals,Flat,,EVA,Slip-On,Women,Suede,Open Toe
8050306-40649,Shoes,Sneakers and Athletic Shoes,Flat,Textile,,Men,Rubber,
8081315-2184,Shoes,Clogs and Mules,,,Slip-On,Women,Suede,Round Toe;Closed Toe
8039907-381129,Shoes,Firstwalker,Under 1in,Leather,Hook and Loop,Girls,Suede,Moc Toe;Round Toe;Closed Toe
7927117-662,Sandals,Flat,3in - 3 3/4in,Leather;Padded;Poron,Buckle,Women,Leather;Nubuck,
7942870-585,Shoes,Clogs and Mules,1in - 1 3/4in,Leather;Moisture Wicking,Slip-On,Women,Patent Leather,Round Toe;Closed Toe;Wide Toe Box
8075339-106052,Shoes,Oxfords,Flat,Orthotic Friendly,Lace up,Men,Leather,Round Toe;Closed Toe
8013746-6828,Sandals,Flat,5in & over,Leather;Padded,Ankle Strap,Women,Leather;Suede,Open Toe
7273088-68,Boots,Ankle,1in - 1 3/4in,,Zipper,Women,,Square Toe
7680619-299245,Shoes,Flats,,Leather,Hook and Loop,Girls,Leather,
8124753-816,Shoes,Flats,Under 1in,Leather,Slip-On,Women,Leather,Almond;Closed Toe
8006006-72,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather,Round Toe;Closed Toe
7661738-2294,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas;Suede;Synthetic,
7218095-72,Boots,Knee High,3in - 3 3/4in,,Zipper,Women,Leather,
7966722-418,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Mesh;Synthetic,
8030106-310,Boots,Mid-Calf,,Leather,,Men,Lace;Leather;Synthetic,
8041781-18,Boots,Ankle,,Padded,Lace up,Women,Suede,Round Toe;Closed Toe
8009605-373679,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Women,Mesh;Synthetic,
8043433-691,Boots,Mid-Calf,,,Pull-on,Women,Suede,Moc Toe
8004498-3,Shoes,Loafers,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Moc Toe;Snub Toe;Closed Toe
8120209-158,Shoes,Heels,1in - 1 3/4in,Padded,Hook and Loop,Women,Leather,Round Toe;Closed Toe
7710897-187216,Shoes,Clogs and Mules,1in - 1 3/4in,Moisture Wicking;Orthotic Friendly;Padded;Removable,Slip-On,Women,Mesh,Round Toe;Closed Toe
7924910-603,Sandals,Flat,Under 1in,Leather,Buckle,Girls,Leather,Open Toe
7874394-6,Boots,Ankle,1in - 1 3/4in,Padded;Removable,Lace up,Men,Leather;Rubber,Round Toe
7447923-70997,Boots,Mid-Calf,,,Pull-on,Men,Neoprene;Rubber,
7668313-381,Boots,Ankle,,Removable,Lace up,Women,Leather;Nubuck;Rubber;Shearling;Synthetic,
7892116-382683,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Girls,Leather,
7889348-396292,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Synthetic,Round Toe;Closed Toe
7880719-99,Sandals,Flat,4in - 4 3/4in,Padded,Slip-On,Women,Satin,Open Toe
7810986-101615,Boots,Mid-Calf,1in - 1 3/4in,Removable,Lace up,Women,Fleece;Leather;Nylon;Rubber,
7560715-178978,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Women,Full-grain leather,Almond;Closed Toe
7822351-3,Shoes,Oxfords,,Leather,Lace up,Men,Leather,Capped Toe
8099556-136,Sandals,Flat,Under 1in,Padded,Buckle;Ankle Strap,Women,Faux Leather,Open Toe
8063870-263786,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Leather;Nappa,Capped Toe;Closed Toe
7987485-396,Boots,Ankle,,EVA,Lace up,Women,Rubber,Round Toe;Closed Toe
7207288-116306,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,
8037358-691,Boots,Ankle,1in - 1 3/4in,Leather;Padded,Zipper,Women,Suede,Round Toe;Closed Toe
128174-620,Shoes,Boat Shoes,,,Lace up,Men,Leather,Moc Toe
